ExpNum AgentType UtilType GenType Alpha Voters Candidates Iterations Experiments Borda_borda Borda_copeland Borda_plurality Borda_stv Condorcet Cond_borda Cond_copeland Cond_plurality Cond_stv
93 LearningBayesianAgent exp_util impartial_culture None 9 7 500 100 1.0 0.9809493546905911 0.9088208262766068 0.9567143426632589 True 0.8253968253968254 1.0 0.5873015873015873 0.8412698412698413
94 LearningBayesianAgent exp_util impartial_culture None 9 3 500 100 1.0 0.9923484848484847 0.983151515151515 0.9891212121212121 True 0.9010989010989011 1.0 0.8681318681318682 0.978021978021978
95 LearningBayesianAgent log_util impartial_culture None 9 7 500 100 1.0 0.9873142523779158 0.9200246959651315 0.9571444916768761 True 0.8688524590163934 1.0 0.5573770491803278 0.8360655737704918
96 LearningBayesianAgent log_util impartial_culture None 9 3 500 100 1.0 0.9819090909090908 0.9704393939393942 0.9869999999999999 True 0.9318181818181818 1.0 0.8295454545454546 0.9545454545454546
97 LearningBayesianAgent linear_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9761852683270178 0.9231769707137851 0.9427265555409656 False 0.8142857142857143 1.0 0.7142857142857143 0.8428571428571429
98 LearningBayesianAgent linear_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9928484848484849 0.9773216783216783 0.9889393939393939 True 0.925531914893617 1.0 0.851063829787234 0.9680851063829787
99 LearningBayesianAgent exp_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9738802710992835 0.9281359470370942 0.9466956398448186 True 0.7397260273972602 1.0 0.7397260273972602 0.8904109589041096
100 LearningBayesianAgent exp_util polya_eggenberger 0.1 9 3 500 100 1.0 0.984646853146853 0.9740431235431235 0.9834195804195802 True 0.875 1.0 0.8645833333333334 0.96875
101 LearningBayesianAgent log_util polya_eggenberger 0.1 9 7 500 100 1.0 0.9900322869499014 0.944801100936905 0.9462350048682319 False 0.875 1.0 0.7638888888888888 0.8611111111111112
102 LearningBayesianAgent log_util polya_eggenberger 0.1 9 3 500 100 1.0 0.9927832167832166 0.989002331002331 0.9911468531468531 True 0.9456521739130435 1.0 0.9456521739130435 0.9891304347826086
